cut_content,text,keyword1,keyword2,keyword3,similarity_score,processed_content,dominant_topic
口腔医院 现在 最 赚钱 [ 笑 哭 ],口腔医院 现在 最 赚钱 [ 笑 哭 ],口腔医院,混口饭吃,口腔科,0.94584596,"['口腔医院', '赚钱', '笑', '哭']",1
我 看 贴 主是 齐鲁 泌外 博士 是 吧 泌外 更是 卷 上卷 据我所知 大批 北医 八年 制在 北京 找 不到 工作 的 会 悉数 抵达 战场 [ doge ] 301 泌外 协和 中山 等 院校 也 有 毕业生 去 参加 省立 面试 [ doge ],我 看 贴 主是 齐鲁 泌外 博士 是 吧 泌外 更是 卷 上卷 据我所知 大批 北医 八年 制在 北京 找 不到 工作 的 会 悉数 抵达 战场 [ doge ] 301 泌外 协和 中山 等 院校 也 有 毕业生 去 参加 省立 面试 [ doge ],自我感觉,在我看来,敌我矛盾,0.75193745,"['贴', '主是', '齐鲁', '泌外', '博士', '泌外', '更是', '卷', '上卷', '北医', '八年', '制在', '北京', '找', '不到', '工作', '悉数', '抵达', '战场', 'doge', '301', '泌外', '协和', '中山', '院校', '毕业生', '参加', '省立', '面试', 'doge']",0
三明 医改 以后 没 必要 都 挤 大 医院 了 乡镇 卫生院 工资 和 三甲 医院 一样 [ 笑 哭 ],三明 医改 以后 没 必要 都 挤 大 医院 了 乡镇 卫生院 工资 和 三甲 医院 一样 [ 笑 哭 ],马来西亚,当头一棒,告一段落,0.8274323,"['三明', '医改', '没', '挤', '医院', '乡镇', '卫生院', '工资', '三甲', '医院', '笑', '哭']",2
顶刊 是 哪种 我 同学 他们 课题组 的 师兄 一般 最差 发 细胞 代谢 循环 这种 杰青 课题组,顶刊 是 哪种 我 同学 他们 课题组 的 师兄 一般 最差 发 细胞 代谢 循环 这种 杰青 课题组,自我感觉,敌我矛盾,在我看来,0.80075336,"['顶刊', '哪种', '同学', '课题组', '师兄', '最差', '发', '细胞', '代谢', '循环', '杰青', '课题组']",3
博士 现在 回 山东 最好 的 选择 是 去 地级市 医院 拿 安家费 把 学历 及时 变现 济南 医疗 市场 现在 是 一个 存量 市场 各大 医院 新 院区 一个 接 一个 建 竞争 越来越 激烈,博士 现在 回 山东 最好 的 选择 是 去 地级市 医院 拿 安家费 把 学历 及时 变现 济南 医疗 市场 现在 是 一个 存量 市场 各大 医院 新 院区 一个 接 一个 建 竞争 越来越 激烈,读博好,硕博圈,硕博去,0.7419698,"['博士', '回', '山东', '选择', '地级市', '医院', '安家费', '学历', '变现', '济南', '医疗', '市场', '存量', '市场', '各大', '医院', '新', '院区', '接', '建', '竞争', '越来越', '激烈']",2
cns   是 顶 刊七大刊 是 顶 刊本 领域   top   是 顶刊 一区 是 顶刊 10   分是 顶刊,cns   是 顶 刊七大刊 是 顶 刊本 领域   top   是 顶刊 一区 是 顶刊 10   分是 顶刊,资产负债率,功能强大,马来西亚,0.71660805,"['cns', '顶', '刊七大刊', '顶', '刊本', '领域', 'top', '顶刊', '一区', '顶刊', '10', '分是', '顶刊']",1
县 医院 和 卫生院 很缺 医生,县 医院 和 卫生院 很缺 医生,儿科医生,产科医生,专科医生,0.94953763,"['县', '医院', '卫生院', '很缺', '医生']",0
虽然 医生 很卷 但 只要 获得 offer 那 在 地级市 就 直接 起飞 了 [ 笑 哭 ],虽然 医生 很卷 但 只要 获得 offer 那 在 地级市 就 直接 起飞 了 [ 笑 哭 ],资产负债率,录取分数,无痛分娩,0.70316267,"['医生', '很卷', 'offer', '地级市', '起飞', '笑', '哭']",1
大一 的 看到 这篇 帖子 仿佛 一辈子 望 到 了 头,大一 的 看到 这篇 帖子 仿佛 一辈子 望 到 了 头,功能强大,刊七大刊,一锤子买卖,0.8750104,"['大一', '这篇', '帖子', '仿佛', '一辈子', '头']",0
嗓子疼 咳嗽 打喷嚏 还有 鼻炎 [ 哭 惹 ],嗓子疼 咳嗽 打喷嚏 还有 鼻炎 [ 哭 惹 ],领导班子,个人所得税,考试分数,0.8852171,"['嗓子疼', '咳嗽', '打喷嚏', '鼻炎', '哭', '惹']",1
顶刊 怎么 不 留在 大佬 组 啊   救命,顶刊 怎么 不 留在 大佬 组 啊   救命,关系不大,功能强大,刊七大刊,0.9052814,"['顶刊', '留在', '大佬', '组', '救命']",2
其实 不用 太 担心 三民 医改 那些 麻醉 肯定 不会 变为 医技 科室 的 身边 的 朋友 也 有学 麻醉 去 县 医院 躺平 的 每天 就 一 两台 手术 平时 周末 基本 没 事情 收入 在 县里 也 还 算 可以 其实 要是 去 有 规培生 的 医院 麻醉 更爽 访视 病人 交给 他们 上班 基本 就动 动嘴,其实 不用 太 担心 三民 医改 那些 麻醉 肯定 不会 变为 医技 科室 的 身边 的 朋友 也 有学 麻醉 去 县 医院 躺平 的 每天 就 一 两台 手术 平时 周末 基本 没 事情 收入 在 县里 也 还 算 可以 其实 要是 去 有 规培生 的 医院 麻醉 更爽 访视 病人 交给 他们 上班 基本 就动 动嘴,医疗事故,注意事项,闲着没事,0.7232445,"['不用', '太', '担心', '三民', '医改', '麻醉', '肯定', '变为', '医技', '科室', '身边', '朋友', '有学', '麻醉', '县', '医院', '躺平', '两台', '手术', '平时', '周末', '没', '事情', '收入', '县里', '算', '规培生', '医院', '麻醉', '更爽', '访视', '病人', '交给', '上班', '就动', '动嘴']",2
尝试 回想 我 的 高中 尽管 这 很 痛苦 我 是非 典型 理科生 高一 的 时候 加上 文科 排名 能 在 年轻 前 二十 虽然 是 小县 中 啦 但是 分科 的 时候 家长 老师 都 说 文科 不好 考大学 找 不到 工作 以后 收入 低 学校 文科 师资 不好 加上 所有 朋友 都 选 理科 于是 选 了 理科 分数 全靠 语文 英语 生物 来 提高 三 吭哧 吭哧 学了 一年 数学 结果 碰上 了 22 年 全国 乙卷 数学 填志愿 的 时候 虽然 都 是 家长 强势 包办 但 工科 类 可以 不用 想 了 [ 笑 哭 ] 大学 的 时候 后悔 了 很 多次 也 收获 一个 血 的 教训 如果 自己 胆怯 于 决定 自己 的 命运 放任 旁人 做 决策 那么 命运 的 流向 就 绝非 自己 能 控制 往往 走向 自己 不 希望 看到 的 方向 [ 哭 惹 ],尝试 回想 我 的 高中 尽管 这 很 痛苦 我 是非 典型 理科生 高一 的 时候 加上 文科 排名 能 在 年轻 前 二十 虽然 是 小县 中 啦 但是 分科 的 时候 家长 老师 都 说 文科 不好 考大学 找 不到 工作 以后 收入 低 学校 文科 师资 不好 加上 所有 朋友 都 选 理科 于是 选 了 理科 分数 全靠 语文 英语 生物 来 提高 三 吭哧 吭哧 学了 一年 数学 结果 碰上 了 22 年 全国 乙卷 数学 填志愿 的 时候 虽然 都 是 家长 强势 包办 但 工科 类 可以 不用 想 了 [ 笑 哭 ] 大学 的 时候 后悔 了 很 多次 也 收获 一个 血 的 教训 如果 自己 胆怯 于 决定 自己 的 命运 放任 旁人 做 决策 那么 命运 的 流向 就 绝非 自己 能 控制 往往 走向 自己 不 希望 看到 的 方向 [ 哭 惹 ],恕我直言,据我所知,自我感觉,0.7574058,"['尝试', '回想', '高中', '痛苦', '是非', '典型', '理科生', '高一', '文科', '排名', '年轻', '前', '二十', '小县', '中', '分科', '家长', '老师', '说', '文科', '不好', '考大学', '找', '不到', '工作', '收入', '低', '学校', '文科', '师资', '不好', '朋友', '选', '理科', '选', '理科', '分数', '全靠', '语文', '英语', '生物', '提高', '三', '吭哧', '吭哧', '学了', '一年', '数学', '碰上', '22', '年', '全国', '乙卷', '数学', '填志愿', '家长', '强势', '包办', '工科', '类', '不用', '想', '笑', '哭', '大学', '后悔', '收获', '血', '教训', '胆怯', '命运', '放任', '做', '决策', '命运', '流向', '控制', '走向', '希望', '方向', '哭', '惹']",2
真的 有 被 说 到 心坎 里 没有 博主 那么 厉害 但是 我 也 不想 在 医院 干 了 家里人 一直 想 让 考公 但是 我 觉得 考上 研了 就 考公考 完公 了 又 得 是 别的 考试 一辈子 就 在 考试 里 度过 了 [ 哭 惹 ] 真的 难受 尤其 是 现在 读研 压力 很大 还 没有 工作,真的 有 被 说 到 心坎 里 没有 博主 那么 厉害 但是 我 也 不想 在 医院 干 了 家里人 一直 想 让 考公 但是 我 觉得 考上 研了 就 考公考 完公 了 又 得 是 别的 考试 一辈子 就 在 考试 里 度过 了 [ 哭 惹 ] 真的 难受 尤其 是 现在 读研 压力 很大 还 没有 工作,关系不大,无奇不有,个人所得税,0.76930475,"['真的', '说', '心坎', '里', '博主', '厉害', '不想', '医院', '干', '家里人', '想', '考公', '考上', '研了', '考公考', '完公', '考试', '一辈子', '考试', '里', '度过', '哭', '惹', '真的', '难受', '读研', '压力', '很大', '工作']",0
同样 迷茫 医学生 一名 [ 笑 哭 ] 但是 我 已经 毕业 了 在 二战 考研 不想 一辈子 考试 羡慕 自由 和 有趣 的 工作 无数次 想 转行 又 不 知道 干什么 [ 哭 惹 ],同样 迷茫 医学生 一名 [ 笑 哭 ] 但是 我 已经 毕业 了 在 二战 考研 不想 一辈子 考试 羡慕 自由 和 有趣 的 工作 无数次 想 转行 又 不 知道 干什么 [ 哭 惹 ],自我感觉,据我所知,在我看来,0.7608483,"['迷茫', '医学生', '一名', '笑', '哭', '毕业', '二战', '考研', '不想', '一辈子', '考试', '羡慕', '自由', '有趣', '工作', '无数次', '想', '转行', '干什么', '哭', '惹']",1
麻醉 地位 和 医院 科主任 的 地位 有关 医改 以后 确实 又 累 又 穷 科室 需要 找到 合适 的 方向 保证 这么 多人能 吃 上 饭 只要 是 规培 真的 是 一道 坎 不好 熬过去 读研 可以 换个 方向 不过 现在 真的 很难说 哪个 方向 更好 一点,麻醉 地位 和 医院 科主任 的 地位 有关 医改 以后 确实 又 累 又 穷 科室 需要 找到 合适 的 方向 保证 这么 多人能 吃 上 饭 只要 是 规培 真的 是 一道 坎 不好 熬过去 读研 可以 换个 方向 不过 现在 真的 很难说 哪个 方向 更好 一点,医疗事故,注意事项,莫名其妙,0.71371263,"['麻醉', '地位', '医院', '科主任', '地位', '医改', '确实', '累', '穷', '科室', '找到', '合适', '方向', '保证', '多人能', '吃', '饭', '规培', '真的', '一道', '坎', '不好', '熬过去', '读研', '换个', '方向', '真的', '很难说', '方向', '更好', '一点']",2
不是 三明 医改 把 麻醉 改 的 又 累 又 穷 麻醉 轻松 与否 与 科室 领导 有关 麻醉 的 地位 也 是 与 医院 有关 的 医学 行业 都 很 累 很穷,不是 三明 医改 把 麻醉 改 的 又 累 又 穷 麻醉 轻松 与否 与 科室 领导 有关 麻醉 的 地位 也 是 与 医院 有关 的 医学 行业 都 很 累 很穷,忙不过来,苦不堪言,值不值得,0.7695925,"['三明', '医改', '麻醉', '改', '累', '穷', '麻醉', '轻松', '科室', '领导', '麻醉', '地位', '医院', '医学', '行业', '累', '很穷']",2
楼主 看 什么 小说 啊 [ 暗中 观察 ],楼主 看 什么 小说 啊 [ 暗中 观察 ],利己主义,提前退休,独立自主,0.88116074,"['楼主', '小说', '观察']",3
宝子 我 也 曾 考虑 过 医学 翻译 我 了解 到 在 大陆 很难 估计 要 出国 才 有 比较 多 的 工作 机会 是 这样 的 吗,宝子 我 也 曾 考虑 过 医学 翻译 我 了解 到 在 大陆 很难 估计 要 出国 才 有 比较 多 的 工作 机会 是 这样 的 吗,自我感觉,据我所知,敌我矛盾,0.8200458,"['宝子', '医学', '翻译', '大陆', '很难', '估计', '出国', '工作', '机会']",1
我读 了 专硕发 了 几篇 文章 老板 不 推博 今年 读博 也 无望 真的 不 知道 何去何从 了,我读 了 专硕发 了 几篇 文章 老板 不 推博 今年 读博 也 无望 真的 不 知道 何去何从 了,恕我直言,在我看来,敌我矛盾,0.84838307,"['我读', '专硕发', '几篇', '文章', '老板', '推博', '读博', '无望', '真的', '何去何从']",1
ds 写 的 挺 扯 的 不太靠 谱 目前 还是 把 五年 本科 读完 医师资格 考完 最 重要 如果 可能 最好 读研 专业 可以 看 你 兴趣,ds 写 的 挺 扯 的 不太靠 谱 目前 还是 把 五年 本科 读完 医师资格 考完 最 重要 如果 可能 最好 读研 专业 可以 看 你 兴趣,功能强大,刊七大刊,绝大多数,0.7654402,"['ds', '写', '挺', '扯', '不太靠', '谱', '五年', '本科', '读完', '医师资格', '考完', '读研', '专业', '兴趣']",1
从小到大 的 班里 第一名   北京市 前 一百名 考入 北大 医学部   八年 抗战 得 博士学位   北京 三甲 医院 工作 十多年   sci 核心 期刊 一大 把   欧洲 顶流 学院 访问学者   好不容易 熬 到 感觉 基本上 可以 掌握 自己 人生 的 时候   年薪 准备 发 我 十五万 税前 然后 问 我 这 不是 很 好 的 人生 吗   比 清洁工 强多 了   我 突然 想 抽烟 了,从小到大 的 班里 第一名   北京市 前 一百名 考入 北大 医学部   八年 抗战 得 博士学位   北京 三甲 医院 工作 十多年   sci 核心 期刊 一大 把   欧洲 顶流 学院 访问学者   好不容易 熬 到 感觉 基本上 可以 掌握 自己 人生 的 时候   年薪 准备 发 我 十五万 税前 然后 问 我 这 不是 很 好 的 人生 吗   比 清洁工 强多 了   我 突然 想 抽烟 了,恕我直言,据我所知,自我感觉,0.7063304,"['从小到大', '班里', '第一名', '北京市', '前', '一百名', '考入', '北大', '医学部', '八年', '抗战', '博士学位', '北京', '三甲', '医院', '工作', '十多年', 'sci', '核心', '期刊', '一大', '欧洲', '顶流', '学院', '访问学者', '好不容易', '熬', '感觉', '人生', '年薪', '发', '十五万', '税前', '问', '人生', '清洁工', '强多', '想', '抽烟']",1
趁 还 来得及 赶紧 转 不然 沉没 成本 太 大 后悔 都 来不及,趁 还 来得及 赶紧 转 不然 沉没 成本 太 大 后悔 都 来不及,关系不大,好不容易,需不需要,0.8799485,"['赶紧', '转', '沉没', '成本', '太', '后悔']",1
好惨 [ 扯 脸 h ],好惨 [ 扯 脸 h ],当牛马,总医院,哗啦啦,0.90745795,"['好惨', '扯', '脸', 'h']",1
刚 工作 就 遇到 集采 了 现在 又 smyg 每个 月 几千块 武汉 抗疫 两个 月 后面 新冠 重症 病房 封闭 化 一个月 对 每个 病人 认真负责 但是 超负荷 工作 已经 透支 了 健康 状态 这段话 是 我 现在 在 理疗科 做 康复 的 床上 打 出来 的 从小 就是 学霸超 北大 线 的 分数 选 了 个 医学院校 [ 笑 哭 ] 学医 的 红利 一点 没有 哪 天 说不定 就 不 干 了,刚 工作 就 遇到 集采 了 现在 又 smyg 每个 月 几千块 武汉 抗疫 两个 月 后面 新冠 重症 病房 封闭 化 一个月 对 每个 病人 认真负责 但是 超负荷 工作 已经 透支 了 健康 状态 这段话 是 我 现在 在 理疗科 做 康复 的 床上 打 出来 的 从小 就是 学霸超 北大 线 的 分数 选 了 个 医学院校 [ 笑 哭 ] 学医 的 红利 一点 没有 哪 天 说不定 就 不 干 了,医学院校,医学专业,医学知识,0.7169087,"['刚', '工作', '集采', 'smyg', '月', '几千块', '武汉', '抗疫', '两个', '月', '新冠', '重症', '病房', '封闭', '化', '一个月', '病人', '认真负责', '超负荷', '工作', '透支', '健康', '状态', '这段话', '理疗科', '做', '康复', '床上', '学霸超', '北大', '线', '分数', '选', '医学院校', '笑', '哭', '学医', '红利', '一点', '天', '说不定', '干']",2
家里 有点 小钱 的 千万别 学医 要不然 你 天天 夜班 的 时候 都 在 思考 一个 问题 明明 本来 就 衣食无忧 了 为什么 要 为 这些 半夜 闲着没事 干来 急诊 的 人 折 自己 的 寿,家里 有点 小钱 的 千万别 学医 要不然 你 天天 夜班 的 时候 都 在 思考 一个 问题 明明 本来 就 衣食无忧 了 为什么 要 为 这些 半夜 闲着没事 干来 急诊 的 人 折 自己 的 寿,身家性命,注意事项,医疗事故,0.7961178,"['家里', '小钱', '千万别', '学医', '天天', '夜班', '思考', '明明', '本来', '衣食无忧', '半夜', '闲着没事', '干来', '急诊', '折', '寿']",2
白衣天使 天使 要钱 做 什么,白衣天使 天使 要钱 做 什么,白衣天使,听天由命,说白了,0.9388696,"['白衣天使', '天使', '要钱', '做']",3
我 二 大爷 收 废品 都 有 30 万一 年 说 这活 脏乱 没 地位 的 学医 的 血尿 屎 脓痰 什么 不 接触 医生 就 受 人 尊敬 吗 现在 也 不见得 吧,我 二 大爷 收 废品 都 有 30 万一 年 说 这活 脏乱 没 地位 的 学医 的 血尿 屎 脓痰 什么 不 接触 医生 就 受 人 尊敬 吗 现在 也 不见得 吧,敌我矛盾,据我所知,在我看来,0.8015425,"['二', '大爷', '收', '废品', '30', '年', '说', '这活', '脏乱', '没', '地位', '学医', '血尿', '屎', '脓痰', '接触', '医生', '受', '尊敬', '不见得']",3
还好 吧 就算 三明 医改 集采 了 医生 收入 和 基层 公务员 也 差不多 虽然 工作 时间 更长 要 值夜班 要 写 论文 搞 课题 风险 高 一些 其他 也 没 啥,还好 吧 就算 三明 医改 集采 了 医生 收入 和 基层 公务员 也 差不多 虽然 工作 时间 更长 要 值夜班 要 写 论文 搞 课题 风险 高 一些 其他 也 没 啥,资产负债率,冲锋在前,提前退休,0.77266955,"['还好', '三明', '医改', '集采', '医生', '收入', '基层', '公务员', '工作', '时间', '更长', '值夜班', '写', '论文', '搞', '课题', '风险', '高', '没']",0
你 看看 公立医院 的 医生 名字 前面 是不是 带个 人民 人民 都 收入 降低 了 凭 啥 人民 医生 收入 高 啊   如果 觉得 公立医院 收入 低 了 为什么 不去 私立 啊,你 看看 公立医院 的 医生 名字 前面 是不是 带个 人民 人民 都 收入 降低 了 凭 啥 人民 医生 收入 高 啊   如果 觉得 公立医院 收入 低 了 为什么 不去 私立 啊,固定收入,毕业论文,职称论文,0.74377364,"['公立医院', '医生', '名字', '带个', '人民', '人民', '收入', '降低', '人民', '医生', '收入', '高', '公立医院', '收入', '低', '不去', '私立']",1
是 医生 碰到 很 贱 的 时代,是 医生 碰到 很 贱 的 时代,骨科医生,东郭先生,专科医生,0.91036636,"['医生', '碰到', '贱', '时代']",3
说 的 对,说 的 对,制的工,死死的,傻傻的,0.99999994,['说'],3
那 一代 只有 物质 压力 这 一代 物质 精神 双 压力 不说 前路 漫漫 未知 切 不安   他们 理解 不了,那 一代 只有 物质 压力 这 一代 物质 精神 双 压力 不说 前路 漫漫 未知 切 不安   他们 理解 不了,可不可以,需不需要,苦不堪言,0.8284757,"['一代', '物质', '压力', '一代', '物质', '精神', '双', '压力', '不说', '前路', '漫漫', '未知', '切', '不安', '理解']",3
这个 评论 是 引流 的 专门 在 医学生 抱怨 的 帖子 下面 发,这个 评论 是 引流 的 专门 在 医学生 抱怨 的 帖子 下面 发,这样的话,总的来说,商业保险,0.8176407,"['评论', '引流', '医学生', '抱怨', '帖子', '发']",2
我 说 句 公道话 等于 什么 来 着,我 说 句 公道话 等于 什么 来 着,敌我矛盾,恕我直言,据我所知,0.9163387,"['说', '句', '公道话', '等于']",3
我 爸妈 他们 那个 年代 大学生 出来 包 分配 父母 在 那个 单位 大学毕业 就 能 去 那 单位 公务员 事业 编 这种 有时候 我 跟 我 我 妈 说 现在 公务员 要考 啥 考 啥 比例 什么 的 她 都 不 清楚 因为 她 那个 年代 不考 这些 [ 微笑 ],我 爸妈 他们 那个 年代 大学生 出来 包 分配 父母 在 那个 单位 大学毕业 就 能 去 那 单位 公务员 事业 编 这种 有时候 我 跟 我 我 妈 说 现在 公务员 要考 啥 考 啥 比例 什么 的 她 都 不 清楚 因为 她 那个 年代 不考 这些 [ 微笑 ],自我感觉,敌我矛盾,据我所知,0.81003237,"['爸妈', '年代', '大学生', '包', '分配', '父母', '单位', '大学毕业', '单位', '公务员', '事业', '编', '有时候', '妈', '说', '公务员', '要考', '考', '比例', '年代', '不考', '微笑']",1
这个 人 天天 发 的   在 我 评论 区 底下   也 发 [ 笑 哭 ],这个 人 天天 发 的   在 我 评论 区 底下   也 发 [ 笑 哭 ],个人所得税,痴人说梦,个人观点,0.8400191,"['天天', '发', '评论', '区', '底下', '发', '笑', '哭']",2
我 说 句 母道 话 站 着 说话 不 腰疼 的 前浪 可以 早点 似给 年轻人 腾 位置 这样 年轻人 就 不会 动不动 紫砂 了,我 说 句 母道 话 站 着 说话 不 腰疼 的 前浪 可以 早点 似给 年轻人 腾 位置 这样 年轻人 就 不会 动不动 紫砂 了,敌我矛盾,自我感觉,恕我直言,0.84560883,"['说', '句', '母道', '话', '站', '说话', '腰疼', '前浪', '早点', '似给', '年轻人', '位置', '年轻人', '紫砂']",1
他们 那代人 面临 过 什么 艰难 啊 做 科研 都 不用 跑 wb 写 论文 都 不用 英文 本科毕业 不规培 就 可以 当 医生,他们 那代人 面临 过 什么 艰难 啊 做 科研 都 不用 跑 wb 写 论文 都 不用 英文 本科毕业 不规培 就 可以 当 医生,个人所得税,技术人员,工作人员,0.81614053,"['那代人', '面临', '艰难', '做', '科研', '不用', '跑', 'wb', '写', '论文', '不用', '英文', '本科毕业', '不规培', '医生']",2
哈哈哈 哈哈哈 这个 人 的 网名 居然 叫 人间 清醒 他 是不是 觉得 众人皆醉 他 独醒 吃 得 苦 中苦 方为人上 人,哈哈哈 哈哈哈 这个 人 的 网名 居然 叫 人间 清醒 他 是不是 觉得 众人皆醉 他 独醒 吃 得 苦 中苦 方为人上 人,个人所得税,管理人员,技术人员,0.8795866,"['哈哈哈', '哈哈哈', '网名', '人间', '清醒', '众人皆醉', '独醒', '吃', '苦', '中苦', '方为人上']",3
刚 被 一对 病人 骂 起因 就是 我 让 他们 拿 病历 来 [ 笑 哭 ] 后来 还是 道歉 了 还 说 要不是 她 心善 我们 就 完蛋 了 不 知道 死 哪 去 吓人,刚 被 一对 病人 骂 起因 就是 我 让 他们 拿 病历 来 [ 笑 哭 ] 后来 还是 道歉 了 还 说 要不是 她 心善 我们 就 完蛋 了 不 知道 死 哪 去 吓人,个人所得税,敌我矛盾,自我感觉,0.8287803,"['刚', '一对', '病人', '骂', '起因', '病历', '笑', '哭', '道歉', '说', '心善', '完蛋', '死', '吓人']",1
哈哈 [ ok ] 三明 医改 难道 不是 好事 吗 主任 们 嫌 工资 太低 了 都 跑 到 私立 医院 了 整个 科室 就 剩下 一个 摆烂 的 主治 两个 刚 毕业 的 研究生 和 三个 规培 医生 还有 两个 轮 科室 的 实习生 [ ok ] 这 医院 即将 是 我们 的 天下,哈哈 [ ok ] 三明 医改 难道 不是 好事 吗 主任 们 嫌 工资 太低 了 都 跑 到 私立 医院 了 整个 科室 就 剩下 一个 摆烂 的 主治 两个 刚 毕业 的 研究生 和 三个 规培 医生 还有 两个 轮 科室 的 实习生 [ ok ] 这 医院 即将 是 我们 的 天下,敌我矛盾,自我感觉,在我看来,0.7829748,"['三明', '医改', '好事', '主任', '嫌', '工资', '太低', '跑', '私立', '医院', '科室', '剩下', '摆烂', '主治', '两个', '刚', '毕业', '研究生', '三个', '规培', '医生', '两个', '轮', '科室', '实习生', '医院', '天下']",1
还读 啥 啊 趁 年轻 赶紧 改行 吧 一个 医学 硕士 留在 三甲 也 是 当 一辈子 苦力 几天 一个 夜班 又 出 门诊 又 管 病房 的 周末 也 要 值班 医院 门诊 365 天 无休 现在 还要 搞 夜间 门诊 还有 会诊 下乡 援藏 规培带 教 本科 带教 开会 学习 各种 考试 天天 忙 得 不可开交 现在 副 高 一个月 一万块 都 不到,还读 啥 啊 趁 年轻 赶紧 改行 吧 一个 医学 硕士 留在 三甲 也 是 当 一辈子 苦力 几天 一个 夜班 又 出 门诊 又 管 病房 的 周末 也 要 值班 医院 门诊 365 天 无休 现在 还要 搞 夜间 门诊 还有 会诊 下乡 援藏 规培带 教 本科 带教 开会 学习 各种 考试 天天 忙 得 不可开交 现在 副 高 一个月 一万块 都 不到,医学院校,医学专业,医学知识,0.70107776,"['还读', '年轻', '赶紧', '改行', '医学', '硕士', '留在', '三甲', '一辈子', '苦力', '几天', '夜班', '出', '门诊', '病房', '周末', '值班', '医院', '门诊', '365', '天', '无休', '搞', '夜间', '门诊', '会诊', '下乡', '援藏', '规培带', '教', '本科', '带教', '开会', '学习', '考试', '天天', '忙', '副', '高', '一个月', '一万块', '不到']",0
医学生 除非 走 研究 方向 其实 大学毕业 就行了,医学生 除非 走 研究 方向 其实 大学毕业 就行了,医学专业,医学院校,医学知识,0.88362586,"['医学生', '走', '研究', '方向', '大学毕业', '就行了']",1
学历 已经 贬值 了 就 临床 来说 本科 的 就业 单位 级别 收入 都 不如 以前 的 大专,学历 已经 贬值 了 就 临床 来说 本科 的 就业 单位 级别 收入 都 不如 以前 的 大专,医科大学,大学毕业,医学院校,0.85179955,"['学历', '贬值', '临床', '本科', '就业', '单位', '级别', '收入', '大专']",0
规培学硕 读博 [ 笑 哭 ] 结果 不 清楚 过程 一定 是 痛苦 的 因为 这是 10 年 没人 知道 10 年 后 是 什么 样子,规培学硕 读博 [ 笑 哭 ] 结果 不 清楚 过程 一定 是 痛苦 的 因为 这是 10 年 没人 知道 10 年 后 是 什么 样子,医科大学,医学院校,医学专业,0.79076695,"['规培学硕', '读博', '笑', '哭', '过程', '痛苦', '这是', '10', '年', '没人', '10', '年', '样子']",0
一个 正在 考研 三站 的 人 轻轻 的 碎 了 看 的 我 都 没有 冲刺 的 心气 了 好像 考不考 得 上 都 是 一样 的 [ 笑 哭 ] 找 工作 都 费劲 我 还是 中西医 结合 的 [ 笑 哭 ] 更是 坑 家里 县城 私立 给 我 开 的 是 基础 工资 五千 随 工作 年限 和 职称 涨 还有 绩效 啥 的 我 还 觉得 没 发展 也 不 知道 发展 到底 在 哪 [ 笑 哭 ] 还 想着 考不上 研究生 去 规培 还 赔个 锤子 啊 这 情况 [ 笑 哭 ] 能 活着 就 不错 了,一个 正在 考研 三站 的 人 轻轻 的 碎 了 看 的 我 都 没有 冲刺 的 心气 了 好像 考不考 得 上 都 是 一样 的 [ 笑 哭 ] 找 工作 都 费劲 我 还是 中西医 结合 的 [ 笑 哭 ] 更是 坑 家里 县城 私立 给 我 开 的 是 基础 工资 五千 随 工作 年限 和 职称 涨 还有 绩效 啥 的 我 还 觉得 没 发展 也 不 知道 发展 到底 在 哪 [ 笑 哭 ] 还 想着 考不上 研究生 去 规培 还 赔个 锤子 啊 这 情况 [ 笑 哭 ] 能 活着 就 不错 了,恕我直言,在我看来,自我感觉,0.7659134,"['考研', '三站', '轻轻', '碎', '冲刺', '心气', '好像', '考不考', '笑', '哭', '找', '工作', '费劲', '中西医', '笑', '哭', '更是', '坑', '家里', '县城', '私立', '开', '基础', '工资', '五千', '工作', '年限', '职称', '涨', '绩效', '没', '发展', '发展', '笑', '哭', '想着', '考不上', '研究生', '规培', '赔个', '锤子', '情况', '笑', '哭', '活着', '不错']",1
今年 专硕 出来 秋招 连 二甲 都 找 不到 [ 哭 惹 ],今年 专硕 出来 秋招 连 二甲 都 找 不到 [ 哭 惹 ],年富力强,老年病,悬壶济世,0.83533144,"['专硕', '秋招', '二甲', '找', '不到', '哭', '惹']",1
能 转行 尽量 趁 年轻 转行 工资待遇 和 医院 级别 没有 必然联系 三甲 有 的 还 不如 二甲 挣得 多,能 转行 尽量 趁 年轻 转行 工资待遇 和 医院 级别 没有 必然联系 三甲 有 的 还 不如 二甲 挣得 多,另有企图,莫名其妙,无奇不有,0.79647267,"['转行', '年轻', '转行', '工资待遇', '医院', '级别', '必然联系', '三甲', '二甲', '挣得']",0
大家 都 是 要饭 的 别卷 了 [ 失望 ],大家 都 是 要饭 的 别卷 了 [ 失望 ],身家性命,大家庭,好家伙,0.8600794,"['要饭', '别卷', '失望']",3
