content,cleaned_content,cut_content,final_content
面试课思路讲的怎么样,面试课思路讲的怎么样,面试 课 思路 讲 的 怎么样,面试课思路讲
姐妹，面试应该怎么去准备呢,姐妹面试应该怎么去准备呢,姐妹 面试 应该 怎么 去 准备 呢,姐妹面试去
坐等三明医改落实后想赚钱的前浪跳到私立，把公立的空缺留给更多牛马一线[笑哭R],坐等三明医改落实后想赚钱的前浪跳到私立把公立的空缺留给更多牛马一线[笑哭],坐等 三明 医改 落实 后 想 赚钱 的 前浪 跳 到 私立 把 公立 的 空缺 留给 更 多 牛马 一线 [ 笑 哭 ],坐等三明医改落实后想赚钱前浪跳私立公立空缺留给更牛马一线[笑哭]
用我们老师的话来说，先把坑位占了比什么都重要[doge],用我们老师的话来说先把坑位占了比什么都重要[doge],用 我们 老师 的话 来说 先 把 坑位 占 了 比 什么 都 重要 [ doge ],老师来说先坑位占都[doge]
专博只是就业的缓冲池，出不了啥研究成果；专博毕业也去不了顶尖医院；要让普通老百姓得到改革的红利，这个红利在哪里？,专博只是就业的缓冲池出不了啥研究成果专博毕业也去不了顶尖医院要让普通老百姓得到改革的红利这个红利在哪里,专博 只是 就业 的 缓冲 池出 不了 啥 研究成果 专博 毕业 也 去 不了 顶尖 医院 要 让 普通 老百姓 得到 改革 的 红利 这个 红利 在 哪里,专博就业缓冲池出不了研究成果专博毕业去不了顶尖医院老百姓改革红利红利
说的好像博士很容易读一样[偷笑R],说的好像博士很容易读一样[偷笑],说 的 好像 博士 很 容易 读 一样 [ 偷笑 ],说好像博士很读[偷笑]
反正我是准备先工作再读博,反正我是准备先工作再读博,反正 我 是 准备 先 工作 再 读博,反正先工作再读博
赶快占坑，读博没有强的科研成果等于白读[笑哭R],赶快占坑读博没有强的科研成果等于白读[笑哭],赶快 占坑 读博 没有 强 的 科研成果 等于 白读 [ 笑 哭 ],赶快占坑读博强科研成果等于白读[笑哭]
想混口饭吃，硕士；想走大佬路线，博士。,想混口饭吃硕士想走大佬路线博士,想 混口饭吃 硕士 想 走 大佬 路线 博士,想混口饭吃硕士想走大佬路线博士
支持赌博[doge],支持赌博[doge],支持 赌博 [ doge ],支持赌博[doge]
家里有关系，大专也能去三甲[握手R],家里有关系大专也能去三甲[握手],家里 有 关系 大专 也 能 去 三甲 [ 握手 ],家里关系大专去三甲[握手]
应该转行,应该转行,应该 转行,转行
院领导：领导班子知道大家都很辛苦，大家有什么不满呢，可以平时跟领导提，但是满意度填写的时候还是要慎重填写，不然可能会影响到医院年终的评分，最终影响大家的绩效！,院领导领导班子知道大家都很辛苦大家有什么不满呢可以平时跟领导提但是满意度填写的时候还是要慎重填写不然可能会影响到医院年终的评分最终影响大家的绩效,院 领导 领导班子 知道 大家 都 很 辛苦 大家 有 什么 不满 呢 可以 平时 跟 领导 提 但是 满意度 填写 的 时候 还是 要 慎重 填写 不然 可能 会 影响 到 医院 年终 的 评分 最终 影响 大家 的 绩效,院领导领导班子都很辛苦不满平时领导提满意度填写慎重填写会影响医院年终评分最终影响绩效
一男一女平均一人一个睾丸,一男一女平均一人一个睾丸,一男一女 平均 一人 一个 睾丸,一男一女平均一人一个睾丸
满意度调查开头告诉你不记名，放心填，真情实感填到最后一页，让填手机号哈哈哈哈哈哈哈，马上怂怂的返回第一页重新按好的填[黄金薯R][黄金薯R],满意度调查开头告诉你不记名放心填真情实感填到最后一页让填手机号哈哈哈哈哈哈哈马上怂怂的返回第一页重新按好的填[黄金薯][黄金薯],满意度 调查 开头 告诉 你 不 记名 放心 填 真情实感 填 到 最后 一页 让 填 手机号 哈哈哈哈 哈哈哈 马上 怂 怂 的 返回 第一页 重新 按好 的 填 [ 黄金 薯 ] [ 黄金 薯 ],满意度调查开头告诉不记名放心填真情实感填一页填手机号哈哈哈哈哈哈哈马上怂怂返回第一页按好填[黄金薯][黄金薯]
2011到2023就算不是三明医改，正常也涨到这个价了,2011到2023就算不是三明医改正常也涨到这个价了,2011 到 2023 就算 不是 三明 医改 正常 也 涨 到 这个 价了,20112023就算三明医改涨价了
为啥是2011年和2023年做对比？那2000年和2023不是更有对比性吗？[doge][doge]不应该是三明实施前和实施后做对比吗？玩文字游戏，真的很擅长。大家别被骗了,为啥是2011年和2023年做对比那2000年和2023不是更有对比性吗[doge][doge]不应该是三明实施前和实施后做对比吗玩文字游戏真的很擅长大家别被骗了,为啥 是 2011 年 和 2023 年 做 对比 那 2000 年 和 2023 不是 更 有 对比性 吗 [ doge ] [ doge ] 不 应该 是 三明 实施 前 和 实施 后 做 对比 吗 玩 文字游戏 真的 很 擅长 大家 别 被 骗 了,为啥2011年2023年做对比2000年2023更对比性[doge][doge]不三明实施前实施后做对比玩文字游戏真的很擅长骗
满意度填写一般都是行政某个科室过来，要么盯着你填，要么直接上手帮你填。如果ip能显示到市，你们应该会更加相信我说的[新月R],满意度填写一般都是行政某个科室过来要么盯着你填要么直接上手帮你填如果ip能显示到市你们应该会更加相信我说的[新月],满意度 填写 一般 都 是 行政 某个 科室 过来 要么 盯 着 你 填 要么 直接 上手 帮 你 填 如果 ip 能 显示 到市 你们 应该 会 更加 相信 我 说 的 [ 新月 ],满意度填写都行政科室盯填上手帮填ip显示到市会说[新月]
满意度调查:请填写你的手机号。,满意度调查请填写你的手机号,满意度 调查 请 填写 你 的 手机号,满意度调查请填写手机号
现在职工满意度都是在领导监督下填写，答案都替你写好了，你就按着答案填就行了[笑哭R]，都是谎言，哪来的实话！,现在职工满意度都是在领导监督下填写答案都替你写好了你就按着答案填就行了[笑哭]都是谎言哪来的实话,现在 职工 满意度 都 是 在 领导 监督 下 填写 答案 都 替 你 写 好 了 你 就 按着 答案 填 就行了 [ 笑 哭 ] 都 是 谎言 哪来 的 实话,职工满意度都领导监督下填写答案都写好按着答案填就行了[笑哭]都谎言哪来实话
让其他行业的人看了的话，他们真的会信的[笑哭R]，变相激化矛盾了,让其他行业的人看了的话他们真的会信的[笑哭]变相激化矛盾了,让 其他 行业 的 人 看 了 的话 他们 真的 会信 的 [ 笑 哭 ] 变相 激化矛盾 了,行业人看真的会信[笑哭]变相激化矛盾
是一个要填你科室，性别，年龄，工龄，手机号的匿名调查[微笑R],是一个要填你科室性别年龄工龄手机号的匿名调查[微笑],是 一个 要 填 你 科室 性别 年龄 工龄 手机号 的 匿名 调查 [ 微笑 ],一个填科室性别年龄工龄手机号匿名调查[微笑]
工分落地案例,工分落地案例,工分 落地 案例,工分落地案例
在年薪总额确定的情况下，干越多，越不值钱，跟养蛊似的，全是牛马在互相厮杀，卷到最后一无所有,在年薪总额确定的情况下干越多越不值钱跟养蛊似的全是牛马在互相厮杀卷到最后一无所有,在 年薪 总额 确定 的 情况 下干 越多越 不值钱 跟养 蛊 似的 全是 牛马 在 互相 厮杀 卷到 最后 一无所有,年薪总额情况下干越多越不值钱跟养蛊全是牛马厮杀卷到一无所有
公务员怎么不实行积分制呢？,公务员怎么不实行积分制呢,公务员 怎么 不 实行 积分 制 呢,公务员不实行积分制
三明医改的推动者(医保局长)进去了吧,三明医改的推动者医保局长进去了吧,三明 医改 的 推动者 医保 局长 进去 了 吧,三明医改推动者医保局长进去
那很不公平啊，内科看一堆感冒，介入去吃射线[笑哭R],那很不公平啊内科看一堆感冒介入去吃射线[笑哭],那 很 不 公平 啊 内科 看 一堆 感冒 介入 去 吃 射线 [ 笑 哭 ],很不公平内科看一堆感冒介入去吃射线[笑哭]
反正给你们医院就分那么多钱，就让你们内卷，在医院里互相卷，反正也卷不到医保局，卷不到财政,反正给你们医院就分那么多钱就让你们内卷在医院里互相卷反正也卷不到医保局卷不到财政,反正 给 你们 医院 就 分 那么 多钱 就让 你们 内卷 在 医院 里 互相 卷 反正 也 卷 不到 医保 局卷 不到 财政,反正医院分多钱就让内卷医院里卷反正卷不到医保局卷不到财政
能说说中级和初级，还有现在升副高得多费劲啊，我这5%通过率，这改革真是无语，,能说说中级和初级还有现在升副高得多费劲啊我这5通过率这改革真是无语,能 说 说 中级 和 初级 还有 现在 升 副 高得 多 费劲 啊 我 这 5 通过率 这 改革 真是 无 语,说说中级初级升副高得费劲5通过率改革无语
这种模式挺好，应当不限于医疗推广，应当向全部事业单位推广，比如政府的工资总额应当按本市的国民生产总值的百分比来算，医保局按全年缴费的比例设定总额，劳动局按全民工资的比例设定总额，等等，工资标准按服务社会的程度和具体办多少事来进行分配，但是不管人员增加还是减少设定的总额不能增加,这种模式挺好应当不限于医疗推广应当向全部事业单位推广比如政府的工资总额应当按本市的国民生产总值的百分比来算医保局按全年缴费的比例设定总额劳动局按全民工资的比例设定总额等等工资标准按服务社会的程度和具体办多少事来进行分配但是不管人员增加还是减少设定的总额不能增加,这种 模式 挺 好 应当 不 限于 医疗 推广 应当 向 全部 事业单位 推广 比如 政府 的 工资总额 应当 按 本市 的 国民 生产总值 的 百分比 来算 医保 局 按 全年 缴费 的 比例 设定 总额 劳动局 按 全民 工资 的 比例 设定 总额 等等 工资标准 按 服务 社会 的 程度 和 具体 办 多少 事来 进行 分配 但是 不管 人员 增加 还是 减少 设定 的 总额 不能 增加,模式挺好不限于医疗推广事业单位推广政府工资总额本市国民生产总值百分比来算医保局全年缴费比例设定总额劳动局全民工资比例设定总额工资标准服务社会程度办事来分配人员增加减少设定总额增加
哪有这么麻烦[doge],哪有这么麻烦[doge],哪有 这么 麻烦 [ doge ],哪有麻烦[doge]
还有个事这个分咋算？自己算还是有人来算，如果自己算我建议本科阶段再加门会计类的课程,还有个事这个分咋算自己算还是有人来算如果自己算我建议本科阶段再加门会计类的课程,还有 个事 这个 分 咋 算 自己 算 还是 有人 来算 如果 自己 算 我 建议 本科 阶段 再 加门 会计 类 的 课程,个事分算算有人来算算建议本科阶段再加门会计类课程
有能力读的肯定还是读啊，学历每上升一个层次选择面都会打开很多很多，而不是之后你想干什么什么的时候发现处处被限制，就算不为了晋升，还有很多次会面临被选择的局面，到时候肯定优先博士啊，更别说基础的薪资差别什么的，我不读只是单纯因为我太菜考不上、就算考上了也没能力毕业，我属于那种低精力人群，吃不了一直学习的苦，要是我能吃我也想读[捂脸R],有能力读的肯定还是读啊学历每上升一个层次选择面都会打开很多很多而不是之后你想干什么什么的时候发现处处被限制就算不为了晋升还有很多次会面临被选择的局面到时候肯定优先博士啊更别说基础的薪资差别什么的我不读只是单纯因为我太菜考不上就算考上了也没能力毕业我属于那种低精力人群吃不了一直学习的苦要是我能吃我也想读[捂脸],有 能力 读 的 肯定 还是 读 啊 学历 每 上升 一个 层次 选择面 都 会 打开 很多很多 而 不是 之后 你 想干什么 什么 的 时候 发现 处处 被 限制 就算 不 为了 晋升 还有 很 多次 会 面临 被 选择 的 局面 到时候 肯定 优先 博士 啊 更 别说 基础 的 薪资 差别 什么 的 我 不读 只是 单纯 因为 我太菜 考不上 就算 考上 了 也 没 能力 毕业 我 属于 那种 低 精力 人群 吃 不了 一直 学习 的 苦 要是 我能 吃 我 也 想 读 [ 捂脸 ],能力读肯定读学历一个层次选择面都会打开很多很多想干什么发现处处就算不晋升很会面临选择局面到时候肯定优先博士更基础薪资差别不读单纯我太菜考不上就算考上没能力毕业那种低精力人群吃不了学习苦我能吃想读[捂脸]
现在读不读博都是主治后5年副高,现在读不读博都是主治后5年副高,现在 读不读 博都 是 主治 后 5 年 副 高,读不读博都主治后5年副高
我老公读博前一月7000—10000，要读四年，回来会给30—40万安家费，回本院可以享受副高待遇坐门诊。因为有奖学金，读博期间的花费就只是生活费，平时除了科研就是在各大问诊网站接诊3000—5000一月，我感觉他还挺值得。,我老公读博前一月700010000要读四年回来会给3040万安家费回本院可以享受副高待遇坐门诊因为有奖学金读博期间的花费就只是生活费平时除了科研就是在各大问诊网站接诊30005000一月我感觉他还挺值得,我 老公 读博前 一月 700010000 要读 四年 回来 会 给 3040 万 安家费 回 本院 可以 享受 副 高待遇 坐 门诊 因为 有 奖学金 读博 期间 的 花费 就 只是 生活费 平时 除了 科研 就是 在 各大 问诊 网站 接诊 30005000 一月 我 感觉 他 还 挺 值得,老公读博前一月700010000要读四年回来会3040万安家费回本院享受副高待遇坐门诊奖学金读博期间花费生活费平时科研各大问诊网站接诊30005000一月感觉还挺值得
我还是觉得应该读，总不能未来的30年一直很差吧，可能差十年然后好一点呢,我还是觉得应该读总不能未来的30年一直很差吧可能差十年然后好一点呢,我 还是 觉得 应该 读 总 不能 未来 的 30 年 一直 很差 吧 可能 差 十年 然后 好 一点 呢,读总未来30年很差差十年好一点
我也在纠结要不要辞职读博，已经工作了,我也在纠结要不要辞职读博已经工作了,我 也 在 纠结 要 不要 辞职 读博 已经 工作 了,纠结辞职读博工作
有一些资源博士优先给编制或者优先晋升副主任，但是读博士的意义逐年降低是明确的，尤其是并不是所有人都想去省级top[doge],有一些资源博士优先给编制或者优先晋升副主任但是读博士的意义逐年降低是明确的尤其是并不是所有人都想去省级top[doge],有 一些 资源 博士 优先 给 编制 或者 优先 晋升 副 主任 但是 读 博士 的 意义 逐年 降低 是 明确 的 尤其 是 并 不是 所有人 都 想 去 省级 top [ doge ],资源博士优先编制优先晋升副主任读博士意义逐年降低所有人都想去省级top[doge]
省三甲编制offer和985基础博士选哪个,省三甲编制offer和985基础博士选哪个,省 三甲 编制 offer 和 985 基础 博士 选 哪个,省三甲编制offer985基础博士选
三年挣不下这么多吧[失望R],三年挣不下这么多吧[失望],三年 挣 不下 这么 多 吧 [ 失望 ],三年挣不下[失望]
你有大三甲低级牛马可以读在职博，大三甲博士学历是门槛[失望R]只要不是护理行政，技术岗博士学位是必须的。但是先工作是没问题的,你有大三甲低级牛马可以读在职博大三甲博士学历是门槛[失望]只要不是护理行政技术岗博士学位是必须的但是先工作是没问题的,你 有 大 三甲 低级 牛马 可以 读 在职 博大 三甲 博士 学历 是 门槛 [ 失望 ] 只要 不是 护理 行政 技术 岗 博士学位 是 必须 的 但是 先 工作 是 没 问题 的,大三甲低级牛马读在职博大三甲博士学历门槛[失望]护理行政技术岗博士学位先工作没
读完博你可能就不会想干临床了[doge],读完博你可能就不会想干临床了[doge],读完 博 你 可能 就 不会 想 干 临床 了 [ doge ],读完博想干临床[doge]
未来走势，优秀医生去私立，普通医生留公立，公立看普通小病，私立看大病,未来走势优秀医生去私立普通医生留公立公立看普通小病私立看大病,未来 走势 优秀 医生 去 私立 普通 医生 留 公立 公立 看 普通 小病 私立 看 大病,未来走势优秀医生去私立医生留公立公立看小病私立看大病
本来学医就难，还这么逼我们,本来学医就难还这么逼我们,本来 学医 就 难 还 这么 逼 我们,本来学医难还逼
都觉得医院赚钱，被医保欠的又有多少谁知道。把所有项目都变成自费你看看。,都觉得医院赚钱被医保欠的又有多少谁知道把所有项目都变成自费你看看,都 觉得 医院 赚钱 被 医保 欠 的 又 有 多少 谁 知道 把 所有 项目 都 变成 自费 你 看看,都医院赚钱医保欠项目都自费
定工分本质上不还是多劳多得吗，不还得要创收收病人多看病人才有工分的啊。。[害羞R],定工分本质上不还是多劳多得吗不还得要创收收病人多看病人才有工分的啊[害羞],定 工分 本质 上 不 还是 多劳多得 吗 不 还 得 要 创收 收 病人 多 看病 人才 有 工分 的 啊 [ 害羞 ],定工分本质上不多劳多得不还创收收病人看病人才工分[害羞]
医生最高工资10.15.20.25谁干啊[捂脸R] 培养到三十几可以赚钱，赚这几块钱[捂脸R]，而且三甲和三乙的主治工资肯定不一样吧，三线城市的三甲医院 和上海北京的三甲 同样是主治工资肯定也不一样啊,医生最高工资10152025谁干啊[捂脸] 培养到三十几可以赚钱赚这几块钱[捂脸]而且三甲和三乙的主治工资肯定不一样吧三线城市的三甲医院 和上海北京的三甲 同样是主治工资肯定也不一样啊,医生 最高 工资 10152025 谁 干 啊 [ 捂脸 ]   培养 到 三十几 可以 赚钱 赚 这 几块钱 [ 捂脸 ] 而且 三甲 和 三 乙 的 主治 工资 肯定 不 一样 吧 三线 城市 的 三甲 医院   和 上海 北京 的 三甲   同样 是 主治 工资 肯定 也 不 一样 啊,医生工资10152025干[捂脸]培养三十几赚钱赚几块钱[捂脸]三甲三乙主治工资肯定不三线城市三甲医院上海北京三甲主治工资肯定不
最高年薪包括绩效吗,最高年薪包括绩效吗,最高 年薪 包括 绩效 吗,年薪包括绩效
太好了…终于不用那么累了…干多干少一个钱，挺好,太好了终于不用那么累了干多干少一个钱挺好,太好了 终于 不用 那么 累 了 干 多 干少 一个 钱 挺 好,太好了终于不用累干干少一个钱挺好
那医护人员是降薪还是加薪呢？,那医护人员是降薪还是加薪呢,那 医护人员 是 降薪 还是 加薪 呢,医护人员降薪加薪
没有强力的后勤行政团队保障医院的正常运营，如何提高医疗服务质量，痴人说梦罢了,没有强力的后勤行政团队保障医院的正常运营如何提高医疗服务质量痴人说梦罢了,没有 强力 的 后勤 行政 团队 保障 医院 的 正常 运营 如何 提高 医疗 服务质量 痴人说梦 罢了,强力后勤行政团队保障医院运营提高医疗服务质量痴人说梦
@momo 准备复读了,momo 准备复读了,momo   准备 复读 了,momo复读
。。。拿我医院开刀,拿我医院开刀,拿 我 医院 开刀,医院开刀
啥意思😳还能去中山一看病吗[皱眉R],啥意思还能去中山一看病吗[皱眉],啥意思 还 能 去 中山 一 看病 吗 [ 皱眉 ],啥意思还去中山看病[皱眉]
完了 现在是四九年入国军吗,完了 现在是四九年入国军吗,完 了   现在 是 四九年 入 国军 吗,完四九年入国军
深圳惠州试点，我们已经说要降薪了，下个月绩效就体现了。,深圳惠州试点我们已经说要降薪了下个月绩效就体现了,深圳 惠州 试点 我们 已经 说 要 降薪 了 下个月 绩效 就 体现 了,深圳惠州试点说降薪下个月绩效体现
今天挂中山大学附属第一医院的号已经涨价6元，以前20现在26[失望R],今天挂中山大学附属第一医院的号已经涨价6元以前20现在26[失望],今天 挂 中山大学 附属 第一 医院 的 号 已经 涨价 6 元 以前 20 现在 26 [ 失望 ],挂中山大学附属第一医院号涨价6元2026[失望]
这么好的事儿竟然不照顾北京上海,这么好的事儿竟然不照顾北京上海,这么 好 的 事儿 竟然 不 照顾 北京 上海,好事儿竟然不照顾北京上海
蹲蹲这两家单位朋友们的留言，目前是什么状况呀？待遇还有工作量方面怎么搞,蹲蹲这两家单位朋友们的留言目前是什么状况呀待遇还有工作量方面怎么搞,蹲 蹲 这 两家 单位 朋友 们 的 留言 目前 是 什么 状况 呀 待遇 还有 工作量 方面 怎么 搞,蹲蹲两家单位朋友留言状况待遇工作量搞
保真？我记得三明医改的点是惠州。,保真我记得三明医改的点是惠州,保真 我 记得 三明 医改 的 点 是 惠州,保真记得三明医改点惠州
疫情过去了，就拿医护人员开刀,疫情过去了就拿医护人员开刀,疫情 过去 了 就 拿 医护人员 开刀,疫情医护人员开刀
坏了我这工资马上要变低保了,坏了我这工资马上要变低保了,坏 了 我 这 工资 马上 要变 低保 了,坏工资马上要变低保
这么一改，国家再也经不住疫情冲击了。公立的没人没药，普通人听天由命，私立的各凭本事。再来次疫情，人口可能要减不少[失望R],这么一改国家再也经不住疫情冲击了公立的没人没药普通人听天由命私立的各凭本事再来次疫情人口可能要减不少[失望],这么 一改 国家 再也 经不住 疫情 冲击 了 公立 的 没人 没药 普通人 听天由命 私立 的 各凭本事 再来次 疫情 人口 可能 要 减 不少 [ 失望 ],一改国家再也经不住疫情冲击公立没人没药普通人听天由命私立各凭本事再来次疫情人口减不少[失望]
工资都没有人家退休金高,工资都没有人家退休金高,工资 都 没有 人家 退休金 高,工资都退休金高
"某三甲，三民医改下平均每月到手6k（以前8-1w）每周（算）休息一天，6k÷（30-4）=230日薪。白班的话早上七点半到晚上六点后，夜班下午六点到第二天上午10（外科有手术可能2点都下不了）取个平均数就算是每天12h工作时长230÷12=19r/h,而我同学中专毕业进厂是25r/h,注意他们5点后算加班，周末2倍，过年3倍，还有补贴！现在学医还能有什么性价比，你研究生毕业比不过人家专科的一个工时，人家国家法定节假日还有休（就是上班也是双倍工资）你搁哪24小时值班待命，况且现在又要专培又要学历又要论文还要SCI.",某三甲三民医改下平均每月到手6k以前81w每周算休息一天6k304230日薪白班的话早上七点半到晚上六点后夜班下午六点到第二天上午10外科有手术可能2点都下不了取个平均数就算是每天12h工作时长2301219rh而我同学中专毕业进厂是25rh注意他们5点后算加班周末2倍过年3倍还有补贴现在学医还能有什么性价比你研究生毕业比不过人家专科的一个工时人家国家法定节假日还有休就是上班也是双倍工资你搁哪24小时值班待命况且现在又要专培又要学历又要论文还要sci,某 三甲 三民 医改 下 平均 每月 到手 6k 以前 81w 每周 算 休息 一天 6k304230 日薪 白班 的话 早上 七点 半到 晚上 六点 后 夜班 下午 六点 到 第二天 上午 10 外科 有 手术 可能 2 点 都 下 不了 取个 平均数 就算 是 每天 12h 工作 时长 2301219rh 而 我 同学 中专 毕业 进厂 是 25rh 注意 他们 5 点后 算 加班 周末 2 倍 过年 3 倍 还有 补贴 现在 学医 还 能 有 什么 性价比 你 研究生 毕业 比 不过 人家 专科 的 一个 工时 人家 国家 法定 节假日 还有 休 就是 上班 也 是 双倍 工资 你 搁 哪 24 小时 值班 待命 况且 现在 又 要 专培 又 要 学历 又 要 论文 还要 sci,三甲三民医改下平均每月到手6k81w每周算休息6k304230日薪白班早上七点半到晚上六点后夜班下午六点第二天上午10外科手术2点都下不了取个平均数就算12h工作时长2301219rh同学中专毕业进厂25rh5点后算加班周末2倍过年3倍补贴学医还性价比研究生毕业专科一个工时国家法定节假日休上班双倍工资搁24小时值班待命专培学历论文还要sci
疫情有事就打着爱国奉献找医务人员，现在就各种打压[笑哭R][笑哭R],疫情有事就打着爱国奉献找医务人员现在就各种打压[笑哭][笑哭],疫情 有事 就 打着 爱国 奉献 找 医务人员 现在 就 各种 打压 [ 笑 哭 ] [ 笑 哭 ],疫情有事打着爱国奉献找医务人员打压[笑哭][笑哭]
楼主 我有个疑问哈  三明医改之后医院挣的钱还是自己支配嘛  假如医院自己支配的话  医院愿意给我们多发钱呢  只要员工不说  谁知道我们发了多钱呢,楼主 我有个疑问哈 三明医改之后医院挣的钱还是自己支配嘛 假如医院自己支配的话 医院愿意给我们多发钱呢 只要员工不说 谁知道我们发了多钱呢,楼主   我 有 个 疑问 哈   三明 医改 之后 医院 挣 的 钱 还是 自己 支配 嘛   假如 医院 自己 支配 的话   医院 愿意 给 我们 多发 钱 呢   只要 员工 不说   谁 知道 我们 发了 多 钱 呢,楼主疑问三明医改医院挣钱支配医院支配医院多发钱员工不说发了钱
医改是苦了病人，难了医生,医改是苦了病人难了医生,医改 是 苦 了 病人 难 了 医生,医改苦病人难医生
这一块张雪峰他还真不懂,这一块张雪峰他还真不懂,这 一块 张 雪峰 他 还 真 不 懂,一块张雪峰还真不懂
老六请客吃饭，对朋友说随便吃随便点，今晚我买单。同时给饭店说，这桌饭我就掏五百，花超了，你们自己负责。饭店只能对厨师说，这桌饭只有五百块标准，客人吃多了点多了，从你工资绩效扣。厨师只能掏出计算器：玛德老子只是厨子，难道还得会当会计，只能哄着客人吃最便宜的东西，吃不死人就行，桌子上有点边角料肉菜就不错了，至于进口山珍海味就不要想了。经过精准计算吃完饭花了四百五。结算后饭店赚了五十块。客人感觉饭是吃了，但是没吃好，服务也差。四处说饭店太黑了厨子太赚钱了。过了五年，老六来查账：我请客向来只出 200，这是我的请客标准。五年前你坑了我二百五，所以请限期十倍赔偿给我,老六请客吃饭对朋友说随便吃随便点今晚我买单同时给饭店说这桌饭我就掏五百花超了你们自己负责饭店只能对厨师说这桌饭只有五百块标准客人吃多了点多了从你工资绩效扣厨师只能掏出计算器玛德老子只是厨子难道还得会当会计只能哄着客人吃最便宜的东西吃不死人就行桌子上有点边角料肉菜就不错了至于进口山珍海味就不要想了经过精准计算吃完饭花了四百五结算后饭店赚了五十块客人感觉饭是吃了但是没吃好服务也差四处说饭店太黑了厨子太赚钱了过了五年老六来查账我请客向来只出 200这是我的请客标准五年前你坑了我二百五所以请限期十倍赔偿给我,老 六 请客吃饭 对 朋友 说 随便 吃 随便 点 今晚 我 买单 同时 给 饭店 说 这 桌饭 我 就 掏 五 百花 超 了 你们 自己 负责 饭店 只能 对 厨师 说 这 桌饭 只有 五百块 标准 客人 吃 多 了 点 多 了 从 你 工资 绩效 扣 厨师 只能 掏出 计算器 玛德 老子 只是 厨子 难道 还 得 会 当 会计 只能 哄 着 客人 吃 最 便宜 的 东西 吃 不 死 人 就 行 桌子 上 有点 边角料 肉菜 就 不错 了 至于 进口 山珍海味 就 不要 想 了 经过 精准 计算 吃完饭 花 了 四百 五 结算 后 饭店 赚 了 五十块 客人 感觉 饭 是 吃 了 但是 没 吃 好 服务 也 差 四处 说 饭店 太黑 了 厨子 太 赚钱 了 过 了 五年 老六来 查账 我 请客 向来 只出   200 这 是 我 的 请客 标准 五年 前 你 坑 了 我 二百五 所以 请 限期 十倍 赔偿 给 我,老六请客吃饭朋友说随便吃随便点今晚买单饭店说桌饭掏五百花超负责饭店只能厨师说桌饭五百块标准客人吃点工资绩效扣厨师只能掏出计算器玛德老子厨子难道还会会计只能哄客人吃最便宜东西吃不死人行桌子上边角料肉菜不错进口山珍海味想精准计算吃完饭花四百五结算后饭店赚五十块客人感觉饭吃没吃好服务差四处说饭店太黑厨子太赚钱五年老六来查账请客向来只出200请客标准五年前坑二百五请限期十倍赔偿
医疗技术提高，人均寿命增加，人口老龄化加剧，老年病发病率提高，医保花费增加，退休金花费增加。你们就不能为大局着想？[石化R][石化R][石化R],医疗技术提高人均寿命增加人口老龄化加剧老年病发病率提高医保花费增加退休金花费增加你们就不能为大局着想[石化][石化][石化],医疗 技术 提高 人均 寿命 增加 人口老龄化 加剧 老年病 发病率 提高 医保 花费 增加 退休金 花费 增加 你们 就 不能 为 大局 着想 [ 石化 ] [ 石化 ] [ 石化 ],医疗技术提高人均寿命增加人口老龄化加剧老年病发病率提高医保花费增加退休金花费增加大局着想[石化][石化][石化]
教师退休1万多，一年才上几天班！！！！！！,教师退休1万多一年才上几天班,教师 退休 1 万多 一年 才 上 几天 班,教师退休1万多一年才上几天班
所有国家都在高薪招揽人才，只有这里是低薪逼死人才，是的读5年起步月薪5000+哈哈哈哈哈哈哈哈哈哈哈太美好啦哈哈哈哈哈,所有国家都在高薪招揽人才只有这里是低薪逼死人才是的读5年起步月薪5000哈哈哈哈哈哈哈哈哈哈哈太美好啦哈哈哈哈哈,所有 国家 都 在 高薪 招揽 人才 只有 这里 是 低薪 逼死 人才 是 的 读 5 年 起步 月薪 5000 哈哈哈哈 哈哈哈哈 哈哈哈 太 美好 啦 哈哈哈 哈哈,国家都高薪招揽人才低薪逼死人才读5年起步月薪5000哈哈哈哈哈哈哈哈哈哈哈太美好哈哈哈
天呐，我觉得就怕这种，要是完全落实也算降低工作量了，也好。但是这种就是无底线降薪但不减工作量，感觉越来越有活头了。,天呐我觉得就怕这种要是完全落实也算降低工作量了也好但是这种就是无底线降薪但不减工作量感觉越来越有活头了,天呐 我 觉得 就 怕 这种 要是 完全 落实 也 算 降低 工作量 了 也好 但是 这种 就是 无 底线 降薪 但 不减 工作量 感觉 越来越 有 活头 了,天呐怕落实算降低工作量无底线降薪不减工作量感觉越来越活头
可是三明看病真的好贵啊！,可是三明看病真的好贵啊,可是 三明 看病 真的 好贵 啊,三明看病真的好贵
医生收入还没有老师高？如果你们够年轻，恶补一下英语，考虑转到美国，美国承认中国的医生，考试一下，过程会又艰辛，但机会是存在的,医生收入还没有老师高如果你们够年轻恶补一下英语考虑转到美国美国承认中国的医生考试一下过程会又艰辛但机会是存在的,医生 收入 还 没有 老师 高 如果 你们 够 年轻 恶补 一下 英语 考虑 转 到 美国 美国 承认 中国 的 医生 考试 一下 过程 会 又 艰辛 但 机会 是 存在 的,医生收入还老师高够年轻恶补英语转美国美国承认中国医生考试过程会艰辛机会
这是一个月？还是一年,这是一个月还是一年,这是 一个月 还是 一年,这是一个月一年
